"filename", "language", "TOML", "Batch", "JSON", "Lua", "Markdown", "YAML", "Rust", "Shell Script", "comment", "blank", "total"
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\lib\init.lua", "Lua", 0, 0, 0, 1513, 0, 0, 0, 0, 152, 404, 2069
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\lib\init.spec.lua", "Lua", 0, 0, 0, 1433, 0, 0, 0, 0, 5, 407, 1845
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 61, 0, 0, 2, 17, 80
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github\workflows\clabot.yml", "YAML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github\workflows\release.yml", "YAML", 0, 0, 0, 0, 0, 60, 0, 0, 0, 17, 77
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\CONTRIBUTING.md", "Markdown", 0, 0, 0, 0, 55, 0, 0, 0, 0, 25, 80
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\Cargo.lock", "TOML", 614, 0, 0, 0, 0, 0, 0, 0, 2, 76, 692
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\Cargo.toml", "TOML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\DESIGN.md", "Markdown", 0, 0, 0, 0, 44, 0, 0, 0, 0, 22, 66
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 9, 32
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\default.project.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs\api-reference.md", "Markdown", 0, 0, 0, 0, 91, 0, 0, 0, 0, 32, 123
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs\getting-started\debugging-tests.md", "Markdown", 0, 0, 0, 0, 27, 0, 0, 0, 0, 10, 37
